Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature,Feature Secondary Name
ENSG00000164022,AIMP1,Gene Expression,0.6425859579014727,0.0,0.0,26123,6.198826489328637,3626,
ENSG00000169891,REPS2,Gene Expression,0.6412435846720808,0.0,0.0,19888,4.616383580123342,2809,
ENSG00000135821,GLUL,Gene Expression,0.6376779100201614,0.0,0.0,77630,18.283262397438257,4063,
ENSG00000108679,LGALS3BP,Gene Expression,0.63443222976405,0.0,0.0,61282,14.204100179636017,3837,
ENSG00000109062,SLC9A3R1,Gene Expression,0.634117479999043,0.0,0.0,72549,16.726109440464587,3751,
ENSG00000169710,FASN,Gene Expression,0.632362348647915,0.0,0.0,43189,9.944373279668657,3302,
ENSG00000082175,PGR,Gene Expression,0.6295784134165894,0.0,0.0,6952,1.6500749275848658,1923,
ENSG00000175895,PLEKHF2,Gene Expression,0.6294839804809798,0.0,0.0,57830,13.418135874999352,3877,
ENSG00000134215,VAV3,Gene Expression,0.6248430514896509,0.0,0.0,34918,8.103137371412945,3498,
FCGR3A,FCGR3A,Antibody Capture,0.622951055056598,0.0,0.0,4279962,1140.9521031766967,4165,CD16
ENSG00000143320,CRABP2,Gene Expression,0.6219437245352877,0.0,0.0,48872,11.220986001802261,3353,
ENSG00000211896,IGHG1,Gene Expression,0.6216621492764005,0.0,0.0,916396,248.7098382659145,4167,
ENSG00000205542,TMSB4X,Gene Expression,0.6194021907054851,0.0,0.0,684596,160.06384583750315,4168,
ENSG00000116299,KIAA1324,Gene Expression,0.6182672322383792,0.0,0.0,22195,5.151008321474334,2959,
PDCD1,PDCD1,Antibody Capture,0.6172137364059415,0.0,0.0,29266106,7367.7234799033595,4169,PD1
ENSG00000243678,NME2,Gene Expression,0.6170950587931738,0.0,0.0,41958,9.841053137865334,3829,
ENSG00000100219,XBP1,Gene Expression,0.6131968673647872,0.0,0.0,124678,29.92164179126923,4132,
ENSG00000010278,CD9,Gene Expression,0.6130642403584357,0.0,0.0,28090,6.6035410761496,3339,
ENSG00000141232,TOB1,Gene Expression,0.6112963025786313,0.0,0.0,30483,7.085261142589139,3417,
ENSG00000104447,TRPS1,Gene Expression,0.6112400485953295,0.0,0.0,39260,9.07255944156706,3538,
ENSG00000012223,LTF,Gene Expression,0.611069803756839,0.0,0.0,35038,7.70180606114916,2899,
ENSG00000104320,NBN,Gene Expression,0.610579067726304,0.0,0.0,29976,7.020634828405658,3594,
ENSG00000080824,HSP90AA1,Gene Expression,0.6082419921690828,0.0,0.0,50303,11.778814887959557,3980,
ENSG00000198786,MT-ND5,Gene Expression,0.6079462656974242,0.0,0.0,18264,4.262786610427974,3093,
ENSG00000106153,CHCHD2,Gene Expression,0.607660020997564,0.0,0.0,52785,12.361564488712665,3987,
ENSG00000156170,NDUFAF6,Gene Expression,0.607322794178614,0.0,0.0,15723,3.6716743471366122,2848,
ENSG00000119888,EPCAM,Gene Expression,0.6070774918399746,0.0,0.0,15869,3.684771653480765,2668,
ENSG00000214530,STARD10,Gene Expression,0.6063468704119543,0.0,0.0,22185,5.1630125816049866,3079,
ENSG00000136068,FLNB,Gene Expression,0.6053415208745822,0.0,0.0,25401,5.879780399254839,3224,
ENSG00000141543,EIF4A3,Gene Expression,0.6051105711710117,0.0,0.0,28457,6.6380745055371655,3493,
ENSG00000162670,BRINP3,Gene Expression,0.6049999055463973,0.0,0.0,457,0.10298960479381707,155,
ENSG00000138696,BMPR1B,Gene Expression,0.6048923603009763,0.0,0.0,6518,1.4642441830023978,1390,
ENSG00000173467,AGR3,Gene Expression,0.6046501967546238,0.0,0.0,8453,1.9971930348651623,2101,
ITGAX,ITGAX,Antibody Capture,0.6045153996379075,0.0,0.0,48805981,11323.199303354548,4168,CD11c
ENSG00000137962,ARHGAP29,Gene Expression,0.6039166098043719,0.0,0.0,12623,3.0053103724122088,2777,
ENSG00000144381,HSPD1,Gene Expression,0.6037727062245134,0.0,0.0,28730,6.711947717847766,3548,
ENSG00000081923,ATP8B1,Gene Expression,0.6027513521770628,0.0,0.0,10455,2.445832245325022,2427,
ENSG00000211592,IGKC,Gene Expression,0.6018925693195482,0.0,0.0,4959905,1338.3904169394218,4169,
ENSG00000164919,COX6C,Gene Expression,0.5981345416690079,0.0,0.0,26025,6.0662877149538454,3362,
ENSG00000104413,ESRP1,Gene Expression,0.5979327043201055,0.0,0.0,13915,3.2406688099721994,2600,
ENSG00000091831,ESR1,Gene Expression,0.5962205288452075,0.0,0.0,19648,4.53029976452061,2830,
ENSG00000169689,CENPX,Gene Expression,0.5961671877260293,0.0,0.0,18993,4.410339488722529,3091,
ENSG00000141759,TXNL4A,Gene Expression,0.5948497927738038,0.0,0.0,38605,9.093055129909935,3929,
PECAM1,PECAM1,Antibody Capture,0.594700614522745,0.0,0.0,38754745,10198.502873014515,4168,CD31
ENSG00000108639,SYNGR2,Gene Expression,0.5943520508200772,0.0,0.0,47793,11.105204524254155,3917,
ENSG00000161547,SRSF2,Gene Expression,0.594221394144774,0.0,0.0,51496,11.993928810176634,3940,
ENSG00000141580,WDR45B,Gene Expression,0.5930843991425293,0.0,0.0,27629,6.390217502042357,3463,
ENSG00000163697,APBB2,Gene Expression,0.5930822017750512,0.0,0.0,15273,3.59343587441888,2830,
BCL2,BCL2,Antibody Capture,0.5930821190458964,0.0,0.0,370520434,87067.23885272176,4169,BCL2
ENSG00000115648,MLPH,Gene Expression,0.5930763511027137,0.0,0.0,21963,5.028838416442622,2865,
ENSG00000184613,NELL2,Gene Expression,0.5926510110200145,0.0,0.0,23541,5.448870668663821,3304,
ENSG00000162989,KCNJ3,Gene Expression,0.592526501771499,0.0,0.0,14914,3.438388896461908,2506,
ENSG00000102172,SMS,Gene Expression,0.5923970721430883,0.0,0.0,20356,4.724626357664887,3271,
ENSG00000100804,PSMB5,Gene Expression,0.5919277853418232,0.0,0.0,23265,5.431360026316294,3298,
ENSG00000124145,SDC4,Gene Expression,0.5918726817804297,0.0,0.0,21987,5.073283530483259,3027,
ENSG00000168702,LRP1B,Gene Expression,0.590871903792488,0.0,0.0,28587,6.567412793951106,2995,
ENSG00000227507,LTB,Gene Expression,0.59017300179624,0.0,0.0,19970,4.489187231171021,3296,
ENSG00000166920,C15orf48,Gene Expression,0.5889820155661408,0.0,0.0,9463,2.241677814370723,2431,
ENSG00000132463,GRSF1,Gene Expression,0.587307770321887,0.0,0.0,17900,4.2004812604239135,3322,
ENSG00000198695,MT-ND6,Gene Expression,0.586722503838352,0.0,0.0,63152,14.634165483530744,4042,
ENSG00000136997,MYC,Gene Expression,0.5862447990755522,0.0,0.0,20348,4.718286526889523,3050,
ENSG00000243649,CFB,Gene Expression,0.586187522119281,0.0,0.0,28279,6.6306894617233025,3228,
ENSG00000068831,RASGRP2,Gene Expression,0.5829432852738102,0.0,0.0,8588,1.96157359142884,2324,
ENSG00000164742,ADCY1,Gene Expression,0.5826971724623611,0.0,0.0,5272,1.2162424470169046,1588,
ENSG00000111666,CHPT1,Gene Expression,0.5825279442220511,0.0,0.0,24475,5.734532567353844,3563,
ENSG00000132466,ANKRD17,Gene Expression,0.5823340929619928,0.0,0.0,24172,5.696010080089306,3613,
ENSG00000115541,HSPE1,Gene Expression,0.5817315286470658,0.0,0.0,25348,5.936101788984439,3585,
CEACAM8,CEACAM8,Antibody Capture,0.581607204617961,0.0,0.0,12647969,3085.0980536215143,4162,CD66b
ENSG00000111110,PPM1H,Gene Expression,0.5809837039955543,0.0,0.0,7415,1.7377504503092787,2149,
ENSG00000153002,CPB1,Gene Expression,0.5799396253397874,0.0,0.0,8981,2.1250598878241376,1326,
ENSG00000188488,SERPINA5,Gene Expression,0.5787173136976855,0.0,0.0,6504,1.5215186931932128,1975,
ENSG00000196136,SERPINA3,Gene Expression,0.5777585358055569,0.0,0.0,7395,1.7501821234311596,2019,
ENSG00000164125,GASK1B,Gene Expression,0.5777455688660198,0.0,0.0,14057,3.324789253255295,2920,
ENSG00000246705,H2AFJ,Gene Expression,0.577287131718735,0.0,0.0,20422,4.727820154495109,3116,
ENSG00000069702,TGFBR3,Gene Expression,0.5771680634947094,0.0,0.0,7794,1.8435020599570016,2237,
ENSG00000145912,NHP2,Gene Expression,0.5766503388038676,0.0,0.0,23740,5.534228819916443,3474,
ENSG00000138095,LRPPRC,Gene Expression,0.5765347400575372,0.0,0.0,33242,7.749798257427518,3786,
ENSG00000187608,ISG15,Gene Expression,0.5762211529819969,0.0,0.0,36305,8.57737255346161,3896,
ENSG00000277734,TRAC,Gene Expression,0.5759916745041358,0.0,0.0,44574,10.170161701817356,3911,
ENSG00000135052,GOLM1,Gene Expression,0.5757284489165188,0.0,0.0,12315,2.882533540474899,2649,
ENSG00000188404,SELL,Gene Expression,0.5752748508112839,0.0,0.0,23936,5.45392295093132,3486,
ENSG00000089356,FXYD3,Gene Expression,0.5750286687536742,0.0,0.0,15074,3.4768213234015923,2666,
ENSG00000211772,TRBC2,Gene Expression,0.5748136458590828,0.0,0.0,27025,6.13862827387364,3591,
ENSG00000134533,RERG,Gene Expression,0.5747998356253624,0.0,0.0,15583,3.6276378637206617,2803,
ENSG00000117461,PIK3R3,Gene Expression,0.5745225290893818,0.0,0.0,12932,3.0100643950534587,2883,
ENSG00000125868,DSTN,Gene Expression,0.5742082538579655,0.0,0.0,19567,4.58288187923668,3306,
ENSG00000013588,GPRC5A,Gene Expression,0.5725098027213754,0.0,0.0,6746,1.6011882316763193,2008,
ENSG00000066583,ISOC1,Gene Expression,0.5713232938058956,0.0,0.0,13781,3.2461529693376017,2973,
ENSG00000111907,TPD52L1,Gene Expression,0.5713169652979443,0.0,0.0,11210,2.6209714698867823,2521,
ENSG00000204388,HSPA1B,Gene Expression,0.5708145091829122,0.0,0.0,13005,3.0633784164432605,2844,
ENSG00000069188,SDK2,Gene Expression,0.5705925909922062,0.0,0.0,10955,2.532975870059579,2427,
ENSG00000092010,PSME1,Gene Expression,0.5700671291517477,0.0,0.0,49963,11.676281145664214,4059,
ENSG00000167863,ATP5PD,Gene Expression,0.5700621441067248,0.0,0.0,24799,5.784002417965232,3600,
ENSG00000173436,MICOS10,Gene Expression,0.5699421091253016,0.0,0.0,29509,6.932231318288615,3733,
ENSG00000104267,CA2,Gene Expression,0.5698561891053301,0.0,0.0,5051,1.1564226032065796,1472,
ENSG00000104549,SQLE,Gene Expression,0.5692675943881291,0.0,0.0,14338,3.3334068310919758,2672,
ENSG00000170421,KRT8,Gene Expression,0.5687727940622553,0.0,0.0,21885,5.017613670878337,3010,
ENSG00000170099,SERPINA6,Gene Expression,0.5684114460203695,0.0,0.0,3370,0.7732331616682611,1051,
ENSG00000111843,TMEM14C,Gene Expression,0.5682717548766181,0.0,0.0,16398,3.865777867945313,3259,
ENSG00000046604,DSG2,Gene Expression,0.566505910766827,0.0,0.0,8532,2.013222492458578,2362,
ENSG00000157601,MX1,Gene Expression,0.5659297024573439,0.0,0.0,54117,12.644017397852423,4053,
ENSG00000008283,CYB561,Gene Expression,0.565849705445567,0.0,0.0,16844,3.9047799671650587,2934,
ENSG00000108510,MED13,Gene Expression,0.5637654289481088,0.0,0.0,22209,5.17702759617515,3400,
ENSG00000137959,IFI44L,Gene Expression,0.5637253134726031,0.0,0.0,81045,19.04395545620123,4135,
ENSG00000143612,C1orf43,Gene Expression,0.5635647670757842,0.0,0.0,18699,4.399700512105321,3412,
CD27,CD27,Antibody Capture,0.5631033502379762,0.0,0.0,164189572,40535.612975436095,4169,CD27
ENSG00000074410,CA12,Gene Expression,0.56308630561304,0.0,0.0,13751,3.191132706585618,2602,
ENSG00000175029,CTBP2,Gene Expression,0.5622789070739552,0.0,0.0,16201,3.7861844538046503,3146,
ENSG00000134049,IER3IP1,Gene Expression,0.5621737903633164,0.0,0.0,9958,2.3413939734607294,2713,
ENSG00000127914,AKAP9,Gene Expression,0.5619383294290621,0.0,0.0,36689,8.685123991468132,3995,
ENSG00000178935,ZNF552,Gene Expression,0.5612208590585002,0.0,0.0,17407,4.058599130175413,3090,
ENSG00000104894,CD37,Gene Expression,0.5607360833497418,0.0,0.0,12333,2.838013068812877,2912,
ENSG00000143416,SELENBP1,Gene Expression,0.5602138305607721,0.0,0.0,12105,2.790697688304526,2598,
ENSG00000129514,FOXA1,Gene Expression,0.559205789365892,0.0,0.0,10933,2.532864576539709,2474,
ENSG00000152894,PTPRK,Gene Expression,0.5591074414470938,0.0,0.0,21423,4.976694399850877,3144,
ENSG00000187720,THSD4,Gene Expression,0.5587382126416374,0.0,0.0,12777,2.946894480346196,2559,
ENSG00000181617,FDCSP,Gene Expression,0.5582608542506402,0.0,0.0,3305,0.6759683566597209,740,
ENSG00000154380,ENAH,Gene Expression,0.5578438186680301,0.0,0.0,18238,4.257075977148642,3125,
CD19,CD19,Antibody Capture,0.5565353274006655,0.0,0.0,78820510,19937.885304411167,4168,CD19
ENSG00000185811,IKZF1,Gene Expression,0.5560986645550846,0.0,0.0,21630,4.967229124779478,3528,
ENSG00000213145,CRIP1,Gene Expression,0.5554322532253896,0.0,0.0,49030,11.432906984529692,3990,
ENSG00000070087,PFN2,Gene Expression,0.5550752747938128,0.0,0.0,15004,3.5198292473357013,2970,
ENSG00000140443,IGF1R,Gene Expression,0.5549985490206196,0.0,0.0,17789,4.126828749304103,3013,
ENSG00000075223,SEMA3C,Gene Expression,0.5539002526323116,0.0,0.0,13458,3.132836681687222,2723,
ENSG00000108604,SMARCD2,Gene Expression,0.553744719089776,0.0,0.0,21128,4.894078133865551,3294,
ENSG00000134291,TMEM106C,Gene Expression,0.553645421694306,0.0,0.0,14525,3.4055890117500707,3055,
ENSG00000183010,PYCR1,Gene Expression,0.5532637919252327,0.0,0.0,9315,2.1689700283982596,2386,
ENSG00000104412,EMC2,Gene Expression,0.5528716152948809,0.0,0.0,19898,4.695558030678027,3565,
ENSG00000034510,TMSB10,Gene Expression,0.5524063837729082,0.0,0.0,168321,39.14408690811845,4165,
ENSG00000143878,RHOB,Gene Expression,0.5520409789912782,0.0,0.0,33065,7.718514405716938,3607,
ENSG00000131238,PPT1,Gene Expression,0.552012931604344,0.0,0.0,19285,4.549678524792924,3536,
ENSG00000154059,IMPACT,Gene Expression,0.5511005679754523,0.0,0.0,10761,2.529352779997463,2897,
ENSG00000136636,KCTD3,Gene Expression,0.5486065089922701,0.0,0.0,17109,4.01449128613452,3066,
CD163,CD163,Antibody Capture,0.5480428970606642,0.0,0.0,156285662,39083.88217791477,4169,CD163
ENSG00000169242,EFNA1,Gene Expression,0.5470878234280189,0.0,0.0,10951,2.556740462791566,2490,
ENSG00000184640,SEPTIN9,Gene Expression,0.5470056176115504,0.0,0.0,27052,6.238108086032405,3645,
ENSG00000141552,ANAPC11,Gene Expression,0.5462594058613913,0.0,0.0,19726,4.6040670886200195,3397,
ENSG00000181038,METTL23,Gene Expression,0.546064127130758,0.0,0.0,15563,3.647211620283671,3273,
ENSG00000107890,ANKRD26,Gene Expression,0.5460480713263699,0.0,0.0,14525,3.4279095217562174,3234,
mouse_IgG2bk,mouse_IgG2bk,Antibody Capture,0.5460307897599415,0.0,0.0,5724371,1554.4134175973022,4166,mouse_IgG2bk
ENSG00000089220,PEBP1,Gene Expression,0.5456904529757143,0.0,0.0,33783,7.9018648564204685,3887,
CD274,CD274,Antibody Capture,0.5449794531574881,0.0,0.0,41442389,9983.129973979461,4168,PDL1
ENSG00000163534,FCRL1,Gene Expression,0.543994291874127,0.0,0.0,4092,0.9613520731210965,1400,
ENSG00000140479,PCSK6,Gene Expression,0.5437485903514697,0.0,0.0,8107,1.9054846846126636,2284,
ENSG00000103202,NME4,Gene Expression,0.5436878803332394,0.0,0.0,14777,3.429134953661244,2978,
ENSG00000012124,CD22,Gene Expression,0.5432970322314609,0.0,0.0,4878,1.0830758895786488,1515,
ENSG00000101773,RBBP8,Gene Expression,0.5428027973657786,0.0,0.0,6467,1.5324473729973687,2154,
ENSG00000182670,TTC3,Gene Expression,0.5427145714303397,0.0,0.0,42585,9.982265096623161,4011,
ENSG00000086061,DNAJA1,Gene Expression,0.5425781659305379,0.0,0.0,16243,3.8115317688460886,3397,
ENSG00000175130,MARCKSL1,Gene Expression,0.5413845638983664,0.0,0.0,26416,6.017789701135133,3518,
ENSG00000066468,FGFR2,Gene Expression,0.5411722266502729,0.0,0.0,7735,1.811543582079564,2183,
ENSG00000171345,KRT19,Gene Expression,0.5401938281801725,0.0,0.0,12922,2.967264161983458,2555,
ENSG00000242265,PEG10,Gene Expression,0.5398892530808574,0.0,0.0,4044,0.9377675664229134,1441,
ENSG00000173890,GPR160,Gene Expression,0.5393406824119389,0.0,0.0,9350,2.1858687896579565,2666,
ENSG00000141425,RPRD1A,Gene Expression,0.5389292205653546,0.0,0.0,18529,4.344708263861387,3436,
ENSG00000004779,NDUFAB1,Gene Expression,0.5378020366636403,0.0,0.0,15945,3.744973954418028,3283,
ENSG00000165389,SPTSSA,Gene Expression,0.5376985165080835,0.0,0.0,15257,3.5628297250492866,3128,
ENSG00000211751,TRBC1,Gene Expression,0.5373074067842422,0.0,0.0,21843,5.001312198637806,3527,
ENSG00000102879,CORO1A,Gene Expression,0.5372423501040339,0.0,0.0,14770,3.3586619995228126,3220,
ENSG00000169442,CD52,Gene Expression,0.5371498643507703,0.0,0.0,13607,3.083154329095879,3061,
CD14,CD14,Antibody Capture,0.5364805624002974,0.0,0.0,51707441,13329.584024651807,4168,CD14
ENSG00000009790,TRAF3IP3,Gene Expression,0.5361784213570218,0.0,0.0,13909,3.1995463693602613,3201,
ENSG00000101166,PRELID3B,Gene Expression,0.5355612189962992,0.0,0.0,16807,3.9323641006209504,3337,
ENSG00000155368,DBI,Gene Expression,0.5351460538344215,0.0,0.0,17767,4.154096517839047,3392,
ENSG00000134827,TCN1,Gene Expression,0.5347232481241896,0.0,0.0,1541,0.3322013287631278,285,
ENSG00000131844,MCCC2,Gene Expression,0.5343481603861484,0.0,0.0,18163,4.269931269540595,3378,
ENSG00000134107,BHLHE40,Gene Expression,0.5335307945718563,0.0,0.0,31266,7.268737335564936,3744,
ENSG00000172724,CCL19,Gene Expression,0.5333499352346606,0.0,0.0,13516,2.9294446159220024,2506,
ENSG00000076554,TPD52,Gene Expression,0.5331492619435428,0.0,0.0,21779,5.106547474663865,3521,
ENSG00000162894,FCMR,Gene Expression,0.5329905164189463,0.0,0.0,6503,1.485524221385575,2137,
ENSG00000221983,UBA52,Gene Expression,0.5328230307078302,0.0,0.0,73870,17.189909649574467,4132,
ENSG00000132467,UTP3,Gene Expression,0.5322347021030476,0.0,0.0,10653,2.508278397786664,2986,
ENSG00000106688,SLC1A1,Gene Expression,0.5321540080644065,0.0,0.0,4157,0.9854428538835499,1481,
ENSG00000111371,SLC38A1,Gene Expression,0.53205139310123,0.0,0.0,31468,7.284176905990356,3884,
ENSG00000160710,ADAR,Gene Expression,0.5316047752979902,0.0,0.0,57141,13.384496622971382,4116,
ENSG00000179195,ZNF664,Gene Expression,0.5308581001096236,0.0,0.0,16103,3.7575593870574915,3290,
ENSG00000160932,LY6E,Gene Expression,0.5307133468199196,0.0,0.0,28037,6.568622440526701,3866,
ENSG00000087494,PTHLH,Gene Expression,0.5303674589014781,0.0,0.0,1789,0.39052996689832337,711,
ENSG00000118513,MYB,Gene Expression,0.52928235945286,0.0,0.0,12132,2.8093852456598305,2820,
ENSG00000175768,TOMM5,Gene Expression,0.5289290967770707,0.0,0.0,19733,4.639361863693581,3575,
ENSG00000197594,ENPP1,Gene Expression,0.5289199667317014,0.0,0.0,11137,2.600030052757766,2665,
ENSG00000087995,METTL2A,Gene Expression,0.5288481377270542,0.0,0.0,13070,3.049950984776485,2969,
ENSG00000182551,ADI1,Gene Expression,0.5270322361251255,0.0,0.0,22259,5.1941692738330785,3617,
ENSG00000109814,UGDH,Gene Expression,0.5250461795834872,0.0,0.0,13545,3.183514665503443,3021,
ENSG00000167291,TBC1D16,Gene Expression,0.52463751235821,0.0,0.0,11562,2.670751451659061,2654,
ENSG00000164823,OSGIN2,Gene Expression,0.5245735424268121,0.0,0.0,9323,2.183998682774607,2607,
ENSG00000097096,SYDE2,Gene Expression,0.5241545487943222,0.0,0.0,9708,2.2660523653223548,2489,
ENSG00000169718,DUS1L,Gene Expression,0.5239153047010242,0.0,0.0,23685,5.48212136470035,3616,
ENSG00000115461,IGFBP5,Gene Expression,0.5238384072285439,0.0,0.0,6801,1.6129260940965595,1839,
ENSG00000135373,EHF,Gene Expression,0.5231990143403802,0.0,0.0,6618,1.5359247419731712,2140,
ENSG00000196405,EVL,Gene Expression,0.5230156255119744,0.0,0.0,49878,11.46533960686802,4070,
ENSG00000189060,H1F0,Gene Expression,0.5216597139697988,0.0,0.0,14650,3.395639815308326,2950,
ENSG00000167815,PRDX2,Gene Expression,0.5212591302108693,0.0,0.0,20231,4.717088804907046,3445,
ENSG00000143537,ADAM15,Gene Expression,0.5208824375016605,0.0,0.0,14336,3.333630856492111,3047,
ENSG00000096384,HSP90AB1,Gene Expression,0.5197312426878835,0.0,0.0,19381,4.491898072851456,3464,
ENSG00000137965,IFI44,Gene Expression,0.5191498749136617,0.0,0.0,53058,12.580369833757189,4115,
ENSG00000067704,IARS2,Gene Expression,0.5178081230573046,0.0,0.0,15726,3.666305526039367,3316,
ENSG00000167996,FTH1,Gene Expression,0.517277158065754,0.0,0.0,63722,15.074964556273196,4148,
ENSG00000104205,SGK3,Gene Expression,0.5167510948448535,0.0,0.0,20582,4.702279613526682,3436,
ENSG00000006625,GGCT,Gene Expression,0.5166244465083849,0.0,0.0,9752,2.2743188911844583,2742,
ENSG00000170921,TANC2,Gene Expression,0.5158961007154842,0.0,0.0,12462,2.9130226905250343,2777,
